word,category,weight
jailed,sad,2
jaunty,happy,2
jealous,sad,2
jeopardy,sad,2
jerk,sad,3
jesus,happy,1
jewel,happy,1
jewels,happy,1
jocular,happy,2
join,happy,1
joke,happy,2
jokes,happy,2
jolly,happy,2
jovial,happy,2
joy,happy,3
joyful,happy,3
joyfully,happy,3
joyless,sad,2
joyous,happy,3
jubilant,happy,3
jumpy,sad,1
justice,happy,2
justifiably,happy,2
justified,happy,2
keen,happy,1
kill,sad,3
killed,sad,3
killing,sad,3
kills,sad,3
kind,happy,2
kinder,happy,2
kiss,happy,2
kudos,happy,3
lack,sad,2
lackadaisical,sad,2
lag,sad,1
lagged,sad,2
lagging,sad,2
lags,sad,2
lame,sad,2
landmark,happy,2
laugh,happy,1
laughed,happy,1
laughing,happy,1
laughs,happy,1
laughting,happy,1
launched,happy,1
lawl,happy,3
lawsuit,sad,2
lawsuits,sad,2
lazy,sad,1
leak,sad,1
leaked,sad,1
leave,sad,1
legal,happy,1
legally,happy,1
lenient,happy,1
lethargic,sad,2
lethargy,sad,2
liar,sad,3
liars,sad,3
libelous,sad,2
lied,sad,2
lifesaver,happy,4
lighthearted,happy,1
like,happy,2
liked,happy,2
likes,happy,2
limitation,sad,1
limited,sad,1
limits,sad,1
litigation,sad,1
litigious,sad,2
lively,happy,2
livid,sad,2
lmao,happy,4
lmfao,happy,4
loathe,sad,3
loathed,sad,3
loathes,sad,3
loathing,sad,3
lobby,sad,2
lobbying,sad,2
lol,happy,3
lonely,sad,2
lonesome,sad,2
longing,sad,1
loom,sad,1
loomed,sad,1
looming,sad,1
looms,sad,1
loose,sad,3
looses,sad,3
loser,sad,3
losing,sad,3
loss,sad,3
lost,sad,3
lovable,happy,3
love,happy,3
loved,happy,3
lovelies,happy,3
lovely,happy,3
loving,happy,2
lowest,sad,1
loyal,happy,3
loyalty,happy,3
luck,happy,3
luckily,happy,3
lucky,happy,3
lugubrious,sad,2
lunatic,sad,3
lunatics,sad,3
lurk,sad,1
lurking,sad,1
lurks,sad,1
mad,sad,3
maddening,sad,3
madly,sad,3
madness,sad,3
mandatory,sad,1
manipulated,sad,1
manipulating,sad,1
manipulation,sad,1
marvel,happy,3
marvelous,happy,3
marvels,happy,3
masterpiece,happy,4
masterpieces,happy,4
matter,happy,1
matters,happy,1
mature,happy,2
meaningful,happy,2
meaningless,sad,2
medal,happy,3
mediocrity,sad,3
meditative,happy,1
melancholy,sad,2
menace,sad,2
menaced,sad,2
mercy,happy,2
merry,happy,3
mess,sad,2
messed,sad,2
methodical,happy,2
mindless,sad,2
miracle,happy,4
mirth,happy,3
mirthful,happy,3
mirthfully,happy,3
misbehave,sad,2
misbehaved,sad,2
misbehaves,sad,2
misbehaving,sad,2
mischief,sad,1
mischiefs,sad,1
miserable,sad,3
misery,sad,2
misgiving,sad,2
misinformation,sad,2
misinformed,sad,2
misinterpreted,sad,2
misleading,sad,3
misread,sad,1
misreporting,sad,2
misrepresentation,sad,2
miss,sad,2
missed,sad,2
missing,sad,2
mistake,sad,2
mistaken,sad,2
mistakes,sad,2
mistaking,sad,2
misunderstand,sad,2
misunderstanding,sad,2
misunderstands,sad,2
misunderstood,sad,2
moan,sad,2
moaned,sad,2
